0,20-20
1,440 Volt
2,A B C D E F G H
3,A Flying Jatt
4,ABCD
5,ABCD Yaariyan
6,Aa Aa E Ooh Ooh Ooh Mera Dil Na Todo
7,Aa Bhi Ja Sanam
8,Aa Gaya Aa Gaya
9,Aa Ghar Chalein Hum
10,Aa Jaana Aa Jaana
11,Aa Jao Na
12,Aa Re Pritam Pyaare
13,Aa Tayar Hoja
14,Aa Toh Sahii
15,Aa Zara
16,Aaankhein Milayenge Darr Se
17,Aadat
18,Aadat (Juda Hoke Bhi)
19,Aadha Ishq
20,Aafaton Ke Parinde
21,Aahista
22,Aahista Aahista
23,Aahun Aahun
24,Aai Pappi – Tu Hai Meri Soniye
25,Aaj Din Chadheya
26,Aaj Hai Sagaai
27,Aaj Hai Sagai
28,Aaj Ibaadat
29,Aaj Kal Yaad Kuch Aur Rehta Nahin
30,Aaj Kehna Zaroori Hai
31,Aaj Ki Party
32,Aaj Ki Party (Remix)
33,Aaj Na Chhodenge
34,Aaj Se Teri
35,Aaj Udta Hua Ek Panchhi
36,Aaj Unse Milna Hai
37,Aaj Zid
38,Aaja Aaja Re Tujhko
39,Aaja Aaja …Yaad Sataye
40,Aaja Mahiya
41,Aaja Nachle
42,Aaja Shaam Hone Aayi
43,Aakhon Aakhon
44,Aanchal Men Saja Lena
45,Aankh Marey
46,Aankhein Khuli
47,Aankhon Aankhon (Remix)
48,Aankhon Ki Gustakhiyan Maaf Ho
49,Aankhon Mein Neendein
50,Aankhon Ne Tumhari
51,Aao Bachho Tumhe Dikhaye
52,Aao Kabhi Haveli Pe
53,Aao Milo Chalo
54,Aao Na
55,Aao Raja
56,Aaoge Jab Tum
57,Aap Aye To Khayal
58,Aap Ka Aana Dil Dhadkana
59,Aap Ki Ankhon Mein Kuch
60,Aap Ki Kashish
61,Aap Ki Khatir
62,Aap Ki Nazron Ne Samjha
63,Aap Se Milkar
64,Aap Yun Hi Agar Humse Milte Rahe
65,Aapka Kya Hoga
66,Aarti (Tumre Bhavan Mein)
67,Aashayein
68,Aashiq Banaya Aapne
69,Aashiq Surrender Hua
70,Aashiyan
71,Aashiyana
72,Aata Majhi Satakli
73,Aate Jaate Jo Milta Hai
74,Aaur Main Khush Hoon
75,Aaya Aaya Toofan
76,Aaya Re
77,Aaya Tere Dar Par
78,Aayat
79,Aayega Maza Ab Barsaat Ka
80,Aayi Re Aayi Re Khushi
81,Ab Ke Baras Bhejo Bhaiya
82,Ab Mujhe Koi
83,Ab Mujhko Jeena
84,Ab Se Teri
85,Ab Tere Bin
86,Ab Tohe Jane Na Doongi
87,Abhagi Piya Ki
88,Abhi Abhi
89,Abhi Kuch Dino Se
90,Abhi Toh Party Shuru Hui Hai
91,Accident Ho Gaya
92,Action Jackson
93,Ada
94,Adhoore Tum Adhoore Hum
95,Adhura Lafz
96,Ae Baby Ae Jee Idhar Aao
97,Ae Bhai Zara Dekh Ke Chalo
98,Ae Dil Hai Mushkil
99,Ae Dil Pyar Ki Manzil
100,Ae Ishq Yeh Sab Duniyawale
101,Ae Mere Humsafar
102,Ae Mohabbat Zindabad
103,Ae Watan
